"Year","MatMort","NeoMort","InfMort","Under5Mort","ISO"
2008,234,23.7,36.7,46.9,"BOL"
2009,222,22.8,34.8,44.1,"BOL"
2010,212,21.8,33,41.6,"BOL"
2011,202,20.8,31.2,39.2,"BOL"
2012,192,19.9,29.6,37,"BOL"
2013,184,18.7,28,34.9,"BOL"
2014,175,17.6,26.6,33,"BOL"
2015,168,16.7,25.4,31.3,"BOL"
2016,161,15.9,24.3,29.9,"BOL"
2017,155,15.2,23.2,28.6,"BOL"
2018,NA,14.6,22.3,27.4,"BOL"
2019,NA,14,21.5,26.3,"BOL"
2000,69,18.5,30.4,34.7,"BRA"
2001,68,17.6,28.5,32.5,"BRA"
2002,69,16.7,26.8,30.4,"BRA"
2003,70,15.8,25.1,28.4,"BRA"
2004,71,15,23.5,26.5,"BRA"
2005,71,14.2,22,24.8,"BRA"
2006,72,13.5,20.7,23.2,"BRA"
2007,71,12.8,19.5,21.8,"BRA"
2008,70,12.2,18.4,20.6,"BRA"
2009,69,11.6,17.5,19.5,"BRA"
2010,65,11.1,16.7,18.6,"BRA"
2011,61,10.7,16,17.9,"BRA"
2012,60,10.3,15.4,17.2,"BRA"
2013,61,10,14.9,16.7,"BRA"
2014,62,9.7,14.6,16.3,"BRA"
2015,63,9.5,14.2,15.9,"BRA"
2016,62,10,15,16.7,"BRA"
2017,60,9.3,13.8,15.4,"BRA"
2018,NA,9.2,13.6,15.2,"BRA"
2019,NA,8.9,13.3,14.9,"BRA"
2000,50,9.3,13.7,15.1,"BRB"
2001,48,9.3,14,15.3,"BRB"
2002,47,9.5,14.2,15.5,"BRB"
2003,45,9.6,14.3,15.7,"BRB"
2004,43,9.8,14.4,15.7,"BRB"
2005,42,9.9,14.4,15.7,"BRB"
