"conflict_id","ISO","year","best","binaryconflict"
333,"AFG",2006,3,0
333,"AFG",2006,1,0
333,"AFG",2006,0,0
333,"AFG",2006,1,0
333,"AFG",2006,2,0
333,"AFG",2006,0,0
333,"AFG",2006,2,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,2,0
333,"AFG",2006,1,0
333,"AFG",2006,2,0
333,"AFG",2006,2,0
333,"AFG",2006,8,0
333,"AFG",2006,2,0
333,"AFG",2006,1,0
333,"AFG",2006,7,0
333,"AFG",2006,1,0
333,"AFG",2006,2,0
333,"AFG",2006,2,0
333,"AFG",2006,3,0
333,"AFG",2006,0,0
333,"AFG",2006,1,0
333,"AFG",2006,3,0
333,"AFG",2006,4,0
333,"AFG",2006,3,0
333,"AFG",2006,15,0
333,"AFG",2006,9,0
333,"AFG",2006,1,0
333,"AFG",2006,8,0
333,"AFG",2006,0,0
333,"AFG",2006,13,0
333,"AFG",2006,0,0
333,"AFG",2006,89,1
333,"AFG",2006,2,0
333,"AFG",2006,1,0
333,"AFG",2006,4,0
333,"AFG",2006,7,0
333,"AFG",2006,2,0
333,"AFG",2006,4,0
333,"AFG",2006,19,0
333,"AFG",2006,2,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,0,0
333,"AFG",2006,31,1
333,"AFG",2006,17,0
333,"AFG",2006,2,0
333,"AFG",2006,6,0
333,"AFG",2006,5,0
333,"AFG",2006,4,0
333,"AFG",2006,2,0
333,"AFG",2006,2,0
333,"AFG",2006,10,0
333,"AFG",2006,3,0
333,"AFG",2006,4,0
333,"AFG",2006,0,0
333,"AFG",2006,2,0
333,"AFG",2006,2,0
333,"AFG",2006,17,0
333,"AFG",2006,1,0
333,"AFG",2006,0,0
333,"AFG",2006,0,0
333,"AFG",2006,12,0
333,"AFG",2006,1,0
333,"AFG",2006,2,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,2,0
333,"AFG",2006,13,0
333,"AFG",2006,1,0
333,"AFG",2006,39,1
333,"AFG",2006,3,0
333,"AFG",2006,3,0
333,"AFG",2006,3,0
333,"AFG",2006,2,0
333,"AFG",2006,10,0
333,"AFG",2006,6,0
333,"AFG",2006,1,0
333,"AFG",2006,3,0
333,"AFG",2006,3,0
333,"AFG",2006,0,0
333,"AFG",2006,34,1
333,"AFG",2006,8,0
333,"AFG",2006,0,0
333,"AFG",2006,0,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,2,0
333,"AFG",2006,8,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,17,0
333,"AFG",2006,6,0
333,"AFG",2006,1,0
333,"AFG",2006,4,0
333,"AFG",2006,3,0
333,"AFG",2006,2,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,3,0
333,"AFG",2006,3,0
333,"AFG",2006,1,0
333,"AFG",2006,4,0
333,"AFG",2006,6,0
333,"AFG",2006,16,0
333,"AFG",2006,5,0
333,"AFG",2006,45,1
333,"AFG",2006,1,0
333,"AFG",2006,6,0
333,"AFG",2006,2,0
333,"AFG",2006,2,0
333,"AFG",2006,1,0
333,"AFG",2006,2,0
333,"AFG",2006,2,0
333,"AFG",2006,1,0
333,"AFG",2006,4,0
333,"AFG",2006,2,0
333,"AFG",2006,2,0
333,"AFG",2006,9,0
333,"AFG",2006,9,0
333,"AFG",2006,6,0
333,"AFG",2006,5,0
333,"AFG",2006,5,0
333,"AFG",2006,3,0
333,"AFG",2006,2,0
333,"AFG",2006,4,0
333,"AFG",2006,2,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,6,0
333,"AFG",2006,1,0
333,"AFG",2006,8,0
333,"AFG",2006,4,0
333,"AFG",2006,4,0
333,"AFG",2006,0,0
333,"AFG",2006,3,0
333,"AFG",2006,5,0
333,"AFG",2006,8,0
333,"AFG",2006,3,0
333,"AFG",2006,2,0
333,"AFG",2006,13,0
333,"AFG",2006,6,0
333,"AFG",2006,5,0
333,"AFG",2006,0,0
333,"AFG",2006,8,0
333,"AFG",2006,0,0
333,"AFG",2006,30,1
333,"AFG",2006,1,0
333,"AFG",2006,2,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,4,0
333,"AFG",2006,3,0
333,"AFG",2006,3,0
333,"AFG",2006,4,0
333,"AFG",2006,1,0
333,"AFG",2006,7,0
333,"AFG",2006,3,0
333,"AFG",2006,2,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,1,0
333,"AFG",2006,0,0
333,"AFG",2006,0,0
333,"AFG",2006,5,0
333,"AFG",2006,4,0
333,"AFG",2006,3,0
333,"AFG",2006,2,0
333,"AFG",2006,11,0
333,"AFG",2006,4,0
333,"AFG",2006,0,0
333,"AFG",2006,4,0
333,"AFG",2006,1,0
333,"AFG",2006,6,0
333,"AFG",2006,3,0
